task,repr,model,run,trial_index,f1,best_so_far,auc,ap,threshold
halflife,wt,transformer,transformer_wt_log,0,0.4772777619837771,0.4772777619837771,NA,NA,NA
halflife,wt,transformer,transformer_wt_log,1,0.6022640385887712,0.6022640385887712,NA,NA,NA
halflife,wt,transformer,transformer_wt_log,2,0.5414783589011257,0.6022640385887712,NA,NA,NA
halflife,wt,transformer,transformer_wt_log,3,0.6104516605113128,0.6104516605113128,NA,NA,NA
halflife,wt,transformer,transformer_wt_log,4,0.5982105744998243,0.6104516605113128,NA,NA,NA
halflife,wt,transformer,transformer_wt_log,5,0.6467068234447426,0.6467068234447426,NA,NA,NA
halflife,wt,transformer,transformer_wt_log,6,0.48109512897529527,0.6467068234447426,NA,NA,NA
halflife,wt,transformer,transformer_wt_log,7,0.48862293326936107,0.6467068234447426,NA,NA,NA
halflife,wt,transformer,transformer_wt_log,8,0.565269667899849,0.6467068234447426,NA,NA,NA
halflife,wt,transformer,transformer_wt_log,9,0.3801541168503222,0.6467068234447426,NA,NA,NA
halflife,wt,transformer,transformer_wt_log,10,0.6723697926290578,0.6723697926290578,NA,NA,NA
halflife,wt,transformer,transformer_wt_log,11,0.6131967823108008,0.6723697926290578,NA,NA,NA
halflife,wt,transformer,transformer_wt_log,12,0.6292920138174898,0.6723697926290578,NA,NA,NA
halflife,wt,transformer,transformer_wt_log,13,0.6183064708807671,0.6723697926290578,NA,NA,NA
halflife,wt,transformer,transformer_wt_log,14,0.6104364936642437,0.6723697926290578,NA,NA,NA
halflife,wt,transformer,transformer_wt_log,15,0.431137882296495,0.6723697926290578,NA,NA,NA
halflife,wt,transformer,transformer_wt_log,16,0.7079557765646415,0.7079557765646415,NA,NA,NA
halflife,wt,transformer,transformer_wt_log,17,0.5984604413782301,0.7079557765646415,NA,NA,NA
halflife,wt,transformer,transformer_wt_log,18,0.6600515674205863,0.7079557765646415,NA,NA,NA
halflife,wt,transformer,transformer_wt_log,19,0.6273183984378103,0.7079557765646415,NA,NA,NA
halflife,wt,transformer,transformer_wt_log,20,0.387681921144388,0.7079557765646415,NA,NA,NA
halflife,wt,transformer,transformer_wt_log,21,0.6255984214707899,0.7079557765646415,NA,NA,NA
halflife,wt,transformer,transformer_wt_log,22,0.6537158360157267,0.7079557765646415,NA,NA,NA
halflife,wt,transformer,transformer_wt_log,23,0.6990592805807455,0.7079557765646415,NA,NA,NA
halflife,wt,transformer,transformer_wt_log,24,0.6579985298858412,0.7079557765646415,NA,NA,NA
halflife,wt,transformer,transformer_wt_log,25,0.7175366183934524,0.7175366183934524,NA,NA,NA
halflife,wt,transformer,transformer_wt_log,26,0.6155690875011068,0.7175366183934524,NA,NA,NA
halflife,wt,transformer,transformer_wt_log,27,0.7103509870218443,0.7175366183934524,NA,NA,NA
halflife,wt,transformer,transformer_wt_log,28,0.7004279722705756,0.7175366183934524,NA,NA,NA
halflife,wt,transformer,transformer_wt_log,29,0.40581708603463734,0.7175366183934524,NA,NA,NA
halflife,wt,transformer,transformer_wt_log,30,0.6549189735837234,0.7175366183934524,NA,NA,NA
halflife,wt,transformer,transformer_wt_log,31,0.7278018060671785,0.7278018060671785,NA,NA,NA
halflife,wt,transformer,transformer_wt_log,32,0.6887940929070194,0.7278018060671785,NA,NA,NA
halflife,wt,transformer,transformer_wt_log,33,0.7106931599443017,0.7278018060671785,NA,NA,NA
halflife,wt,transformer,transformer_wt_log,34,0.6792132510782085,0.7278018060671785,NA,NA,NA
halflife,wt,transformer,transformer_wt_log,35,0.6152269145786493,0.7278018060671785,NA,NA,NA
halflife,wt,transformer,transformer_wt_log,36,0.6785289052332935,0.7278018060671785,NA,NA,NA
halflife,wt,transformer,transformer_wt_log,37,0.6795554240006659,0.7278018060671785,NA,NA,NA
halflife,wt,transformer,transformer_wt_log,38,0.6603937403430439,0.7278018060671785,NA,NA,NA
halflife,wt,transformer,transformer_wt_log,39,0.7295126706794661,0.7295126706794661,NA,NA,NA
halflife,wt,transformer,transformer_wt_log,40,0.5710866075816272,0.7295126706794661,NA,NA,NA
halflife,wt,transformer,transformer_wt_log,41,0.6484176880570302,0.7295126706794661,NA,NA,NA
halflife,wt,transformer,transformer_wt_log,42,0.6246330175321032,0.7295126706794661,NA,NA,NA
halflife,wt,transformer,transformer_wt_log,43,0.6922158221315947,0.7295126706794661,NA,NA,NA
halflife,wt,transformer,transformer_wt_log,44,0.6836614990701564,0.7295126706794661,NA,NA,NA
halflife,wt,transformer,transformer_wt_log,45,0.671717307975987,0.7295126706794661,NA,NA,NA
halflife,wt,transformer,transformer_wt_log,46,0.6369390627417165,0.7295126706794661,NA,NA,NA
halflife,wt,transformer,transformer_wt_log,47,0.7171944454709949,0.7295126706794661,NA,NA,NA
halflife,wt,transformer,transformer_wt_log,48,0.6556033194286385,0.7295126706794661,NA,NA,NA
halflife,wt,transformer,transformer_wt_log,49,0.7048762202625237,0.7295126706794661,NA,NA,NA
halflife,wt,transformer,transformer_wt_raw,0,0.47127251131012515,0.47127251131012515,NA,NA,NA
halflife,wt,transformer,transformer_wt_raw,1,0.46408998057953676,0.47127251131012515,NA,NA,NA
halflife,wt,transformer,transformer_wt_raw,2,0.3649485349028213,0.47127251131012515,NA,NA,NA
halflife,wt,transformer,transformer_wt_raw,3,0.28623536542967376,0.47127251131012515,NA,NA,NA
halflife,wt,transformer,transformer_wt_raw,4,0.5189061495741709,0.5189061495741709,NA,NA,NA
